id,email_text,expected_action,expected_tone,clean_text,predicted_tone,predicted_action,action_correct,tone_correct
1,This is a weekly newsletter with general updates. No action required.,notify,neutral,this is a weekly newsletter with general updates no action required,neutral,ignore,False,True
2,"Congratulations, you have been selected for the next interview round.",notify,urgent,congratulations you have been selected for the next interview round,neutral,ignore,False,False
3,Your order has been shipped and will be delivered within 3 days.,notify,polite,your order has been shipped and will be delivered within  days,neutral,ignore,False,False
4,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,notify,urgent,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,False,False
5,Your order has been shipped and will be delivered within 3 days.,ignore,urgent,your order has been shipped and will be delivered within  days,neutral,ignore,True,False
6,Security alert: A login attempt was detected from a new device.,respond,urgent,security alert a login attempt was detected from a new device,neutral,notify,False,False
7,Your order has been shipped and will be delivered within 3 days.,respond,urgent,your order has been shipped and will be delivered within  days,neutral,ignore,False,False
8,Thank you for contacting support. We are reviewing your query.,ignore,neutral,thank you for contacting support we are reviewing your query,polite,ignore,True,False
9,Thank you for contacting support. We are reviewing your query.,ignore,neutral,thank you for contacting support we are reviewing your query,polite,ignore,True,False
10,This is a weekly newsletter with general updates. No action required.,ignore,urgent,this is a weekly newsletter with general updates no action required,neutral,ignore,True,False
11,Your order has been shipped and will be delivered within 3 days.,respond,urgent,your order has been shipped and will be delivered within  days,neutral,ignore,False,False
12,Security alert: A login attempt was detected from a new device.,respond,polite,security alert a login attempt was detected from a new device,neutral,notify,False,False
13,System maintenance is scheduled this weekend.,ignore,neutral,system maintenance is scheduled this weekend,neutral,ignore,True,True
14,Your internship application has been shortlisted. Please reply to confirm availability.,notify,urgent,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
15,Security alert: A login attempt was detected from a new device.,respond,neutral,security alert a login attempt was detected from a new device,neutral,notify,False,True
16,System maintenance is scheduled this weekend.,ignore,neutral,system maintenance is scheduled this weekend,neutral,ignore,True,True
17,This is a weekly newsletter with general updates. No action required.,ignore,polite,this is a weekly newsletter with general updates no action required,neutral,ignore,True,False
18,Thank you for contacting support. We are reviewing your query.,notify,neutral,thank you for contacting support we are reviewing your query,polite,ignore,False,False
19,This is a weekly newsletter with general updates. No action required.,notify,polite,this is a weekly newsletter with general updates no action required,neutral,ignore,False,False
20,Security alert: A login attempt was detected from a new device.,respond,urgent,security alert a login attempt was detected from a new device,neutral,notify,False,False
21,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,polite,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,True,False
22,Security alert: A login attempt was detected from a new device.,ignore,polite,security alert a login attempt was detected from a new device,neutral,notify,False,False
23,This is a weekly newsletter with general updates. No action required.,notify,polite,this is a weekly newsletter with general updates no action required,neutral,ignore,False,False
24,System maintenance is scheduled this weekend.,notify,neutral,system maintenance is scheduled this weekend,neutral,ignore,False,True
25,Please submit the assignment by tonight to avoid late penalties.,respond,polite,please submit the assignment by tonight to avoid late penalties,polite,respond,True,True
26,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,polite,your internship application has been shortlisted please reply to confirm availability,polite,ignore,True,True
27,System maintenance is scheduled this weekend.,ignore,neutral,system maintenance is scheduled this weekend,neutral,ignore,True,True
28,Your internship application has been shortlisted. Please reply to confirm availability.,notify,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
29,Please submit the assignment by tonight to avoid late penalties.,ignore,polite,please submit the assignment by tonight to avoid late penalties,polite,respond,False,True
30,This is a weekly newsletter with general updates. No action required.,notify,urgent,this is a weekly newsletter with general updates no action required,neutral,ignore,False,False
31,Invoice INR 18450 is pending and must be cleared before the due date.,notify,neutral,invoice inr  is pending and must be cleared before the due date,neutral,respond,False,True
32,Your internship application has been shortlisted. Please reply to confirm availability.,respond,urgent,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
33,This is a weekly newsletter with general updates. No action required.,respond,neutral,this is a weekly newsletter with general updates no action required,neutral,ignore,False,True
34,Invoice INR 18450 is pending and must be cleared before the due date.,notify,urgent,invoice inr  is pending and must be cleared before the due date,neutral,respond,False,False
35,This is a weekly newsletter with general updates. No action required.,notify,urgent,this is a weekly newsletter with general updates no action required,neutral,ignore,False,False
36,System maintenance is scheduled this weekend.,notify,urgent,system maintenance is scheduled this weekend,neutral,ignore,False,False
37,"Congratulations, you have been selected for the next interview round.",ignore,neutral,congratulations you have been selected for the next interview round,neutral,ignore,True,True
38,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,urgent,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,True,False
39,Thank you for contacting support. We are reviewing your query.,ignore,urgent,thank you for contacting support we are reviewing your query,polite,ignore,True,False
40,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,neutral,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,False,True
41,Thank you for contacting support. We are reviewing your query.,ignore,polite,thank you for contacting support we are reviewing your query,polite,ignore,True,True
42,Security alert: A login attempt was detected from a new device.,ignore,neutral,security alert a login attempt was detected from a new device,neutral,notify,False,True
43,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,notify,polite,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,False,False
44,Your order has been shipped and will be delivered within 3 days.,ignore,neutral,your order has been shipped and will be delivered within  days,neutral,ignore,True,True
45,Please submit the assignment by tonight to avoid late penalties.,respond,polite,please submit the assignment by tonight to avoid late penalties,polite,respond,True,True
46,"Congratulations, you have been selected for the next interview round.",notify,neutral,congratulations you have been selected for the next interview round,neutral,ignore,False,True
47,Your order has been shipped and will be delivered within 3 days.,notify,polite,your order has been shipped and will be delivered within  days,neutral,ignore,False,False
48,Thank you for contacting support. We are reviewing your query.,notify,urgent,thank you for contacting support we are reviewing your query,polite,ignore,False,False
49,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,neutral,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,False,True
50,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
51,Your order has been shipped and will be delivered within 3 days.,ignore,urgent,your order has been shipped and will be delivered within  days,neutral,ignore,True,False
52,Your internship application has been shortlisted. Please reply to confirm availability.,respond,urgent,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
53,Security alert: A login attempt was detected from a new device.,notify,polite,security alert a login attempt was detected from a new device,neutral,notify,True,False
54,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,True,False
55,Thank you for contacting support. We are reviewing your query.,ignore,urgent,thank you for contacting support we are reviewing your query,polite,ignore,True,False
56,Invoice INR 18450 is pending and must be cleared before the due date.,respond,polite,invoice inr  is pending and must be cleared before the due date,neutral,respond,True,False
57,Security alert: A login attempt was detected from a new device.,respond,urgent,security alert a login attempt was detected from a new device,neutral,notify,False,False
58,"Congratulations, you have been selected for the next interview round.",respond,polite,congratulations you have been selected for the next interview round,neutral,ignore,False,False
59,Security alert: A login attempt was detected from a new device.,ignore,polite,security alert a login attempt was detected from a new device,neutral,notify,False,False
60,Security alert: A login attempt was detected from a new device.,ignore,polite,security alert a login attempt was detected from a new device,neutral,notify,False,False
61,Security alert: A login attempt was detected from a new device.,respond,polite,security alert a login attempt was detected from a new device,neutral,notify,False,False
62,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,urgent,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,False,False
