id,email_text,expected_action,expected_tone
1,This is a weekly newsletter with general updates. No action required.,notify,neutral
2,"Congratulations, you have been selected for the next interview round.",notify,urgent
3,Your order has been shipped and will be delivered within 3 days.,notify,polite
4,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,notify,urgent
5,Your order has been shipped and will be delivered within 3 days.,ignore,urgent
6,Security alert: A login attempt was detected from a new device.,respond,urgent
7,Your order has been shipped and will be delivered within 3 days.,respond,urgent
8,Thank you for contacting support. We are reviewing your query.,ignore,neutral
9,Thank you for contacting support. We are reviewing your query.,ignore,neutral
10,This is a weekly newsletter with general updates. No action required.,ignore,urgent
11,Your order has been shipped and will be delivered within 3 days.,respond,urgent
12,Security alert: A login attempt was detected from a new device.,respond,polite
13,System maintenance is scheduled this weekend.,ignore,neutral
14,Your internship application has been shortlisted. Please reply to confirm availability.,notify,urgent
15,Security alert: A login attempt was detected from a new device.,respond,neutral
16,System maintenance is scheduled this weekend.,ignore,neutral
17,This is a weekly newsletter with general updates. No action required.,ignore,polite
18,Thank you for contacting support. We are reviewing your query.,notify,neutral
19,This is a weekly newsletter with general updates. No action required.,notify,polite
20,Security alert: A login attempt was detected from a new device.,respond,urgent
21,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,polite
22,Security alert: A login attempt was detected from a new device.,ignore,polite
23,This is a weekly newsletter with general updates. No action required.,notify,polite
24,System maintenance is scheduled this weekend.,notify,neutral
25,Please submit the assignment by tonight to avoid late penalties.,respond,polite
26,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,polite
27,System maintenance is scheduled this weekend.,ignore,neutral
28,Your internship application has been shortlisted. Please reply to confirm availability.,notify,neutral
29,Please submit the assignment by tonight to avoid late penalties.,ignore,polite
30,This is a weekly newsletter with general updates. No action required.,notify,urgent
31,Invoice INR 18450 is pending and must be cleared before the due date.,notify,neutral
32,Your internship application has been shortlisted. Please reply to confirm availability.,respond,urgent
33,This is a weekly newsletter with general updates. No action required.,respond,neutral
34,Invoice INR 18450 is pending and must be cleared before the due date.,notify,urgent
35,This is a weekly newsletter with general updates. No action required.,notify,urgent
36,System maintenance is scheduled this weekend.,notify,urgent
37,"Congratulations, you have been selected for the next interview round.",ignore,neutral
38,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,urgent
39,Thank you for contacting support. We are reviewing your query.,ignore,urgent
40,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,neutral
41,Thank you for contacting support. We are reviewing your query.,ignore,polite
42,Security alert: A login attempt was detected from a new device.,ignore,neutral
43,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,notify,polite
44,Your order has been shipped and will be delivered within 3 days.,ignore,neutral
45,Please submit the assignment by tonight to avoid late penalties.,respond,polite
46,"Congratulations, you have been selected for the next interview round.",notify,neutral
47,Your order has been shipped and will be delivered within 3 days.,notify,polite
48,Thank you for contacting support. We are reviewing your query.,notify,urgent
49,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,neutral
50,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral
51,Your order has been shipped and will be delivered within 3 days.,ignore,urgent
52,Your internship application has been shortlisted. Please reply to confirm availability.,respond,urgent
53,Security alert: A login attempt was detected from a new device.,notify,polite
54,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,neutral
55,Thank you for contacting support. We are reviewing your query.,ignore,urgent
56,Invoice INR 18450 is pending and must be cleared before the due date.,respond,polite
57,Security alert: A login attempt was detected from a new device.,respond,urgent
58,"Congratulations, you have been selected for the next interview round.",respond,polite
59,Security alert: A login attempt was detected from a new device.,ignore,polite
60,Security alert: A login attempt was detected from a new device.,ignore,polite
61,Security alert: A login attempt was detected from a new device.,respond,polite
62,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,urgent
63,Your order has been shipped and will be delivered within 3 days.,respond,urgent
64,Invoice INR 18450 is pending and must be cleared before the due date.,ignore,polite
65,Invoice INR 18450 is pending and must be cleared before the due date.,respond,urgent
66,Thank you for contacting support. We are reviewing your query.,respond,polite
67,This is a weekly newsletter with general updates. No action required.,ignore,polite
68,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral
69,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,neutral
70,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,polite
71,Please submit the assignment by tonight to avoid late penalties.,ignore,urgent
72,Invoice INR 18450 is pending and must be cleared before the due date.,notify,neutral
73,Please submit the assignment by tonight to avoid late penalties.,ignore,neutral
74,This is a weekly newsletter with general updates. No action required.,notify,neutral
75,This is a weekly newsletter with general updates. No action required.,ignore,polite
76,Thank you for contacting support. We are reviewing your query.,respond,urgent
77,Invoice INR 18450 is pending and must be cleared before the due date.,respond,urgent
78,"Congratulations, you have been selected for the next interview round.",ignore,urgent
79,System maintenance is scheduled this weekend.,respond,polite
80,Your order has been shipped and will be delivered within 3 days.,ignore,neutral
81,Please submit the assignment by tonight to avoid late penalties.,notify,neutral
82,"Congratulations, you have been selected for the next interview round.",respond,urgent
83,System maintenance is scheduled this weekend.,ignore,neutral
84,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,urgent
85,Invoice INR 18450 is pending and must be cleared before the due date.,respond,polite
86,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,urgent
87,Your order has been shipped and will be delivered within 3 days.,respond,neutral
88,Please submit the assignment by tonight to avoid late penalties.,notify,urgent
89,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral
90,Your order has been shipped and will be delivered within 3 days.,ignore,polite
91,Please submit the assignment by tonight to avoid late penalties.,notify,polite
92,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral
93,Invoice INR 18450 is pending and must be cleared before the due date.,respond,polite
94,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,neutral
95,"Congratulations, you have been selected for the next interview round.",notify,polite
96,Invoice INR 18450 is pending and must be cleared before the due date.,respond,neutral
97,This is a weekly newsletter with general updates. No action required.,notify,urgent
98,Your order has been shipped and will be delivered within 3 days.,respond,neutral
99,System maintenance is scheduled this weekend.,notify,urgent
100,"Congratulations, you have been selected for the next interview round.",respond,polite
